"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar Reservas","Consultar reserva exitosa","SUCCESS","2022-04-27T19:29:16.407-05:00[America/Bogota]","0.0","37.21"
"Consultar Reservas","Consulta de reserva fallida","SUCCESS","2022-04-27T19:29:54.443-05:00[America/Bogota]","0.0","14.27"
"Validacion de campos del formulario","validar campos obligatorios completos","SUCCESS","2022-04-27T21:36:06.831-05:00[America/Bogota]","0.0","42.86"
"Validacion de campos del formulario","validar campos obligatorios incompletos","SUCCESS","2022-04-27T21:36:50.55-05:00[America/Bogota]","0.0","0.02"
