"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar Reservas","Consultar reserva exitosa","SUCCESS","2022-04-29T13:35:31.449-05:00[America/Bogota]","0.0","13.36"
"Consultar Reservas","Consulta de reserva fallida","SUCCESS","2022-04-29T13:35:45.612-05:00[America/Bogota]","0.0","13.84"
